elo_rank,player,age,elo,helo,celo,gelo,atp_rank
414,Amelia Rajecki,24.1,1340.8,1245.8,1285.4,1279.9,386
415,Malaika Rapolu,23.2,1340.6,1324.0,1287.7,1345.3,352
416,Kristiana Sidorova,20.1,1339.9,1338.3,1260.4,1344.9,401
417,Rina Saigo,25.7,1338.9,1328.0,1245.5,1341.0,272
418,Saki Imamura,23.6,1338.0,1318.1,1284.0,1336.0,741
419,Zuzanna Pawlikowska,21.4,1335.6,1337.2,1284.3,1342.8,365
420,Manon Leonard,25.4,1335.4,1338.9,1168.9,1265.9,335
421,Hina Inoue,23.1,1335.4,1317.6,1211.5,1337.4,284
422,Lina Glushko,26.5,1334.3,1324.7,1299.0,1396.6,543
423,Weronika Ewald,20.4,1333.3,1272.7,1365.5,1341.6,407
424,Katarina Kuzmova,24.9,1331.2,1326.0,1189.1,1340.6,276
425,Dalayna Hewitt,25.6,1331.1,1316.8,1218.7,1340.5,602
426,Ekaterina Kazionova,27.5,1330.7,1303.0,1301.8,1319.5,495
427,Anastasia Abbagnato,22.6,1330.6,1284.1,1323.3,1340.3,565
428,Carlota Martinez Cirez,25.4,1330.5,1223.4,1311.9,1321.3,391
429,Lucie Nguyen Tan,23.1,1327.9,1254.8,1297.7,1339.0,430
430,Diana Martynov,25.2,1327.3,1284.5,1296.6,1338.6,437
431,Tatiana Pieri,27.3,1325.0,1285.3,1298.6,1337.5,440
432,Georgina Garcia Perez,34.1,1324.4,1295.5,1333.1,1304.4,750
433,Jana Kolodynska,22.4,1322.7,1318.7,1201.2,1297.5,600
434,Gergana Topalova,25.8,1322.3,1172.7,1310.1,1326.0,499
435,Radka Zelnickova,23.1,1321.7,1297.6,1263.1,1335.9,342
436,Wushuang Zheng,27.5,1319.7,1308.2,1245.9,1334.9,516
437,Gabriela Ce,33.4,1318.7,1253.1,1297.8,1307.4,336
438,Carolyn Ansari,25.5,1318.1,1312.1,1263.9,1313.3,251
439,Sahaja Yamalapalli,25.7,1315.6,1298.5,1238.7,1315.7,341
440,Anouck Vrancken Peeters,23.4,1314.1,1350.2,1285.4,1257.4,319
441,Momoko Kobori,27.9,1313.9,1306.3,1180.1,1306.0,375
442,Cagla Buyukakcay,36.8,1310.9,1312.1,1289.7,1219.7,426
443,Julie Pastikova,18.1,1310.9,1258.3,1302.9,1330.5,419
444,Valentina Steiner,20.0,1310.1,1276.9,1303.4,1330.0,427
445,Emily Appleton,26.8,1308.9,1272.2,1235.0,1296.7,450
